"ROW_NR","UNITS","CBSA_NAME","SITE_LATITUDE","SITE_LONGITUDE","COUNTY","Daily.Mean.PM2.5.Concentration","STATE","Date"
"223","ug/m3 LC","San Francisco-Oakland-Hayward","37.687526","-121.784217","Alameda","8.8","California","2016-08-12"
"523","ug/m3 LC","San Francisco-Oakland-Hayward","37.743065","-122.169935","Alameda","5.4","California","2016-08-12"
"811","ug/m3 LC","San Francisco-Oakland-Hayward","37.814781","-122.282347","Alameda","3","California","2016-08-12"
"1094","ug/m3 LC","San Francisco-Oakland-Hayward","37.793624","-122.263376","Alameda","6.2","California","2016-08-12"
"1213","ug/m3 LC","San Francisco-Oakland-Hayward","37.8647670009","-122.302741","Alameda","4.7","California","2016-08-12"
"1491","ug/m3 LC","Chico","39.7615384387","-121.8416203644","Butte","11.8","California","2016-08-12"
"2138","ug/m3 LC","No Data","39.0212210009","-122.281803","Colusa","10.8","California","2016-08-12"
"2571","ug/m3 LC","San Francisco-Oakland-Hayward","37.936013","-122.026154","Contra Costa","3.5","California","2016-08-12"
"2834","ug/m3 LC","San Francisco-Oakland-Hayward","37.9604","-122.356811","Contra Costa","2.4","California","2016-08-12"
"3127","ug/m3 LC","Fresno","36.7853217602","-119.7741738902","Fresno","13.2","California","2016-08-12"
"3856","ug/m3 LC","Fresno","36.198672","-120.101096","Fresno","11.9","California","2016-08-12"
"4319","ug/m3 LC","Fresno","36.8191105157","-119.7173558156","Fresno","15.7","California","2016-08-12"
"4853","ug/m3 LC","El Centro","32.676186139","-115.4841439523","Imperial","12.5","California","2016-08-12"
"5111","ug/m3 LC","El Centro","32.676186139","-115.4841439523","Imperial","12.7","California","2016-08-12"
"5610","ug/m3 LC","Bishop","37.360684","-118.330783","Inyo","4.3","California","2016-08-12"
"5968","ug/m3 LC","Bishop","36.487823","-117.871036","Inyo","3.3","California","2016-08-12"
"6307","ug/m3 LC","Bakersfield","35.0505513495","-118.147293621","Kern","15.4","California","2016-08-12"
"6550","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","14.1","California","2016-08-12"
"6811","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","15.3","California","2016-08-12"
"7164","ug/m3 LC","Bakersfield","34.841567","-118.860588","Kern","8.8","California","2016-08-12"
"8035","ug/m3 LC","Los Angeles-Long Beach-Anaheim","34.0665900009","-118.22688","Los Angeles","7.1","California","2016-08-12"
"9043","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.82376","-118.18921","Los Angeles","7","California","2016-08-12"
"9307","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.79236","-118.17533","Los Angeles","6.5","California","2016-08-12"
"9735","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.859444","-118.200278","Los Angeles","8.5","California","2016-08-12"
"10600","ug/m3 LC","San Francisco-Oakland-Hayward","37.97231","-122.520004","Marin","2","California","2016-08-12"
"11153","ug/m3 LC","Merced","37.281598109","-120.4349916881","Merced","13.7","California","2016-08-12"
"11507","ug/m3 LC","Salinas","36.4957666675","-121.7315711407","Monterey","13.6","California","2016-08-12"
"11774","ug/m3 LC","Salinas","36.2092860009","-121.126371","Monterey","16.1","California","2016-08-12"
"12057","ug/m3 LC","Salinas","36.6967601141","-121.6371823446","Monterey","8.9","California","2016-08-12"
"12318","ug/m3 LC","Napa","38.310942","-122.296189","Napa","6.8","California","2016-08-12"
"12733","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.83062","-117.93845","Orange","7.2","California","2016-08-12"
"13254","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.935577909","-121.100647797","Placer","10.9","California","2016-08-12"
"13731","ug/m3 LC","No Data","39.9370989451","-120.9388206689","Plumas","8.4","California","2016-08-12"
"14112","ug/m3 LC","Riverside-San Bernardino-Ontario","33.4478670009","-117.088649","Riverside","13.9","California","2016-08-12"
"14727","ug/m3 LC","Riverside-San Bernardino-Ontario","33.9447129","-116.830074","Riverside","17.8","California","2016-08-12"
"15275","ug/m3 LC","Riverside-San Bernardino-Ontario","33.9995800009","-117.41601","Riverside","10.1","California","2016-08-12"
"15851","ug/m3 LC","Riverside-San Bernardino-Ontario","33.995638","-117.493304","Riverside","10.4","California","2016-08-12"
"16496","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.6137790009","-121.368014","Sacramento","7","California","2016-08-12"
"16748","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.6137790009","-121.368014","Sacramento","6.7","California","2016-08-12"
"17076","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.5582277239","-121.4929811724","Sacramento","7.6","California","2016-08-12"
"17390","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.683304","-121.164457","Sacramento","8.4","California","2016-08-12"
"17653","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.683304","-121.164457","Sacramento","8.2","California","2016-08-12"
"17999","ug/m3 LC","San Jose-Sunnyvale-Santa Clara","36.8440963155","-121.3621211714","San Benito","7.5","California","2016-08-12"
"18435","ug/m3 LC","Riverside-San Bernardino-Ontario","34.030833","-117.61722","San Bernardino","17.5","California","2016-08-12"
"19283","ug/m3 LC","San Diego-Carlsbad","32.8422420009","-116.768225","San Diego","12.7","California","2016-08-12"
"19544","ug/m3 LC","San Diego-Carlsbad","33.2170250009","-117.396158","San Diego","10.1","California","2016-08-12"
"20026","ug/m3 LC","San Diego-Carlsbad","32.7014920009","-117.149653","San Diego","8","California","2016-08-12"
"20324","ug/m3 LC","San Diego-Carlsbad","32.7252260006","-116.3652034267","San Diego","2.4","California","2016-08-12"
"20617","ug/m3 LC","San Diego-Carlsbad","32.5793610009","-116.929486","San Diego","11","California","2016-08-12"
"21047","ug/m3 LC","San Diego-Carlsbad","32.789561","-116.944222","San Diego","7.8","California","2016-08-12"
"21048","ug/m3 LC","San Diego-Carlsbad","32.789561","-116.944222","San Diego","12.5","California","2016-08-12"
"21449","ug/m3 LC","San Diego-Carlsbad","33.3625928343","-117.0902299999","San Diego","7","California","2016-08-12"
"21721","ug/m3 LC","San Francisco-Oakland-Hayward","37.765946","-122.399044","San Francisco","2.9","California","2016-08-12"
"22227","ug/m3 LC","Stockton-Lodi","37.7932310881","-121.2487199757","San Joaquin","11.6","California","2016-08-12"
"22566","ug/m3 LC","San Luis Obispo-Paso Robles-Arroyo Grande","35.02083","-120.56388","San Luis Obispo","1.3","California","2016-08-12"
"22638","ug/m3 LC","San Luis Obispo-Paso Robles-Arroyo Grande","35.2565768749","-120.6698614307","San Luis Obispo","7.2","California","2016-08-12"
"23109","ug/m3 LC","San Luis Obispo-Paso Robles-Arroyo Grande","35.49453","-120.66617","San Luis Obispo","6.8","California","2016-08-12"
"23400","ug/m3 LC","San Francisco-Oakland-Hayward","37.482934","-122.20337","San Mateo","12.3","California","2016-08-12"
"23682","ug/m3 LC","Santa Maria-Santa Barbara","34.9491471842","-120.4376298533","Santa Barbara","6.9","California","2016-08-12"
"23927","ug/m3 LC","Santa Maria-Santa Barbara","34.6378200009","-120.4575","Santa Barbara","7.2","California","2016-08-12"
"24440","ug/m3 LC","San Jose-Sunnyvale-Santa Clara","36.999571","-121.574684","Santa Clara","8.7","California","2016-08-12"
"24796","ug/m3 LC","San Jose-Sunnyvale-Santa Clara","37.348497","-121.894898","Santa Clara","9.8","California","2016-08-12"
"25096","ug/m3 LC","San Jose-Sunnyvale-Santa Clara","37.338135","-121.849783","Santa Clara","11.2","California","2016-08-12"
"25390","ug/m3 LC","Santa Cruz-Watsonville","36.9839209877","-121.9893282424","Santa Cruz","4.5","California","2016-08-12"
"25660","ug/m3 LC","Santa Cruz-Watsonville","37.0630685077","-122.0841287539","Santa Cruz","1.5","California","2016-08-12"
"26000","ug/m3 LC","Vallejo-Fairfield","38.102507","-122.237976","Solano","1.9","California","2016-08-12"
"26284","ug/m3 LC","Vallejo-Fairfield","38.102507","-122.237976","Solano","5.9","California","2016-08-12"
"26582","ug/m3 LC","Santa Rosa","38.403765","-122.818294","Sonoma","-0.1","California","2016-08-12"
"27061","ug/m3 LC","Modesto","37.4879805928","-120.8370050082","Stanislaus","12.2","California","2016-08-12"
"27299","ug/m3 LC","Yuba City","39.1387725442","-121.6185489862","Sutter","9.6","California","2016-08-12"
"27661","ug/m3 LC","Red Bluff","40.17093","-122.25556","Tehama","14.9","California","2016-08-12"
"27767","ug/m3 LC","No Data","40.73475","-122.9412","Trinity","11.5","California","2016-08-12"
"28239","ug/m3 LC","Visalia-Porterville","36.0318310009","-119.055018","Tulare","13.1","California","2016-08-12"
"28479","ug/m3 LC","Oxnard-Thousand Oaks-Ventura","34.210154","-118.870496","Ventura","12.2","California","2016-08-12"
"28778","ug/m3 LC","Oxnard-Thousand Oaks-Ventura","34.404268","-118.809946","Ventura","9.7","California","2016-08-12"
"29080","ug/m3 LC","Oxnard-Thousand Oaks-Ventura","34.448048","-119.231321","Ventura","6.2","California","2016-08-12"
"29367","ug/m3 LC","Oxnard-Thousand Oaks-Ventura","34.276362","-118.683757","Ventura","11.7","California","2016-08-12"
"29672","ug/m3 LC","Oxnard-Thousand Oaks-Ventura","34.276362","-118.683757","Ventura","10.5","California","2016-08-12"
"29967","ug/m3 LC","Oxnard-Thousand Oaks-Ventura","34.252378","-119.143176","Ventura","6.5","California","2016-08-12"
