"ROW_NR","UNITS","CBSA_NAME","SITE_LATITUDE","SITE_LONGITUDE","COUNTY","Daily.Mean.PM2.5.Concentration","STATE","Date"
"213","ug/m3 LC","San Francisco-Oakland-Hayward","37.687526","-121.784217","Alameda","7.7","California","2016-08-02"
"513","ug/m3 LC","San Francisco-Oakland-Hayward","37.743065","-122.169935","Alameda","4.7","California","2016-08-02"
"801","ug/m3 LC","San Francisco-Oakland-Hayward","37.814781","-122.282347","Alameda","7.1","California","2016-08-02"
"1084","ug/m3 LC","San Francisco-Oakland-Hayward","37.793624","-122.263376","Alameda","6.5","California","2016-08-02"
"1203","ug/m3 LC","San Francisco-Oakland-Hayward","37.8647670009","-122.302741","Alameda","5.3","California","2016-08-02"
"1481","ug/m3 LC","Chico","39.7615384387","-121.8416203644","Butte","9","California","2016-08-02"
"2130","ug/m3 LC","No Data","39.0212210009","-122.281803","Colusa","7.6","California","2016-08-02"
"2561","ug/m3 LC","San Francisco-Oakland-Hayward","37.936013","-122.026154","Contra Costa","2.2","California","2016-08-02"
"3117","ug/m3 LC","Fresno","36.7853217602","-119.7741738902","Fresno","12.8","California","2016-08-02"
"3564","ug/m3 LC","Fresno","36.9851185574","-119.6583393499","Fresno","20.2","California","2016-08-02"
"3846","ug/m3 LC","Fresno","36.198672","-120.101096","Fresno","12.4","California","2016-08-02"
"4309","ug/m3 LC","Fresno","36.8191105157","-119.7173558156","Fresno","15.7","California","2016-08-02"
"4843","ug/m3 LC","El Centro","32.676186139","-115.4841439523","Imperial","9.8","California","2016-08-02"
"5102","ug/m3 LC","El Centro","32.676186139","-115.4841439523","Imperial","9.7","California","2016-08-02"
"5365","ug/m3 LC","El Centro","32.79222","-115.56306","Imperial","10","California","2016-08-02"
"5600","ug/m3 LC","Bishop","37.360684","-118.330783","Inyo","13.1","California","2016-08-02"
"5958","ug/m3 LC","Bishop","36.487823","-117.871036","Inyo","14.2","California","2016-08-02"
"6297","ug/m3 LC","Bakersfield","35.0505513495","-118.147293621","Kern","13.1","California","2016-08-02"
"6541","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","17.3","California","2016-08-02"
"6801","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","17.7","California","2016-08-02"
"7154","ug/m3 LC","Bakersfield","34.841567","-118.860588","Kern","12.2","California","2016-08-02"
"8025","ug/m3 LC","Los Angeles-Long Beach-Anaheim","34.0665900009","-118.22688","Los Angeles","9.2","California","2016-08-02"
"9033","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.82376","-118.18921","Los Angeles","7.8","California","2016-08-02"
"9297","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.79236","-118.17533","Los Angeles","6.7","California","2016-08-02"
"9725","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.859444","-118.200278","Los Angeles","10.3","California","2016-08-02"
"10590","ug/m3 LC","San Francisco-Oakland-Hayward","37.97231","-122.520004","Marin","3.1","California","2016-08-02"
"11143","ug/m3 LC","Merced","37.281598109","-120.4349916881","Merced","11.1","California","2016-08-02"
"11497","ug/m3 LC","Salinas","36.4957666675","-121.7315711407","Monterey","53.6","California","2016-08-02"
"11764","ug/m3 LC","Salinas","36.2092860009","-121.126371","Monterey","13.5","California","2016-08-02"
"12047","ug/m3 LC","Salinas","36.6967601141","-121.6371823446","Monterey","12","California","2016-08-02"
"12308","ug/m3 LC","Napa","38.310942","-122.296189","Napa","11.3","California","2016-08-02"
"12723","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.83062","-117.93845","Orange","6.7","California","2016-08-02"
"13244","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.935577909","-121.100647797","Placer","6.7","California","2016-08-02"
"13721","ug/m3 LC","No Data","39.9370989451","-120.9388206689","Plumas","7.2","California","2016-08-02"
"14102","ug/m3 LC","Riverside-San Bernardino-Ontario","33.4478670009","-117.088649","Riverside","8.8","California","2016-08-02"
"14717","ug/m3 LC","Riverside-San Bernardino-Ontario","33.9447129","-116.830074","Riverside","16.3","California","2016-08-02"
"15265","ug/m3 LC","Riverside-San Bernardino-Ontario","33.9995800009","-117.41601","Riverside","9","California","2016-08-02"
"15841","ug/m3 LC","Riverside-San Bernardino-Ontario","33.995638","-117.493304","Riverside","9.3","California","2016-08-02"
"16486","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.6137790009","-121.368014","Sacramento","5","California","2016-08-02"
"16738","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.6137790009","-121.368014","Sacramento","1.5","California","2016-08-02"
"17066","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.5582277239","-121.4929811724","Sacramento","5.2","California","2016-08-02"
"17380","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.683304","-121.164457","Sacramento","6.2","California","2016-08-02"
"17643","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.683304","-121.164457","Sacramento","7.2","California","2016-08-02"
"17989","ug/m3 LC","San Jose-Sunnyvale-Santa Clara","36.8440963155","-121.3621211714","San Benito","11.5","California","2016-08-02"
"18425","ug/m3 LC","Riverside-San Bernardino-Ontario","34.030833","-117.61722","San Bernardino","12.1","California","2016-08-02"
"19273","ug/m3 LC","San Diego-Carlsbad","32.8422420009","-116.768225","San Diego","9.8","California","2016-08-02"
"19534","ug/m3 LC","San Diego-Carlsbad","33.2170250009","-117.396158","San Diego","7.2","California","2016-08-02"
"20013","ug/m3 LC","San Diego-Carlsbad","32.7014920009","-117.149653","San Diego","6.2","California","2016-08-02"
"20314","ug/m3 LC","San Diego-Carlsbad","32.7252260006","-116.3652034267","San Diego","6.4","California","2016-08-02"
"20607","ug/m3 LC","San Diego-Carlsbad","32.5793610009","-116.929486","San Diego","7.3","California","2016-08-02"
"21027","ug/m3 LC","San Diego-Carlsbad","32.789561","-116.944222","San Diego","9.4","California","2016-08-02"
"21028","ug/m3 LC","San Diego-Carlsbad","32.789561","-116.944222","San Diego","5.6","California","2016-08-02"
"21439","ug/m3 LC","San Diego-Carlsbad","33.3625928343","-117.0902299999","San Diego","4.5","California","2016-08-02"
"21711","ug/m3 LC","San Francisco-Oakland-Hayward","37.765946","-122.399044","San Francisco","4.3","California","2016-08-02"
"22217","ug/m3 LC","Stockton-Lodi","37.7932310881","-121.2487199757","San Joaquin","8.1","California","2016-08-02"
"22556","ug/m3 LC","San Luis Obispo-Paso Robles-Arroyo Grande","35.02083","-120.56388","San Luis Obispo","2","California","2016-08-02"
"22628","ug/m3 LC","San Luis Obispo-Paso Robles-Arroyo Grande","35.2565768749","-120.6698614307","San Luis Obispo","8.2","California","2016-08-02"
"23099","ug/m3 LC","San Luis Obispo-Paso Robles-Arroyo Grande","35.49453","-120.66617","San Luis Obispo","3.6","California","2016-08-02"
"23390","ug/m3 LC","San Francisco-Oakland-Hayward","37.482934","-122.20337","San Mateo","11.1","California","2016-08-02"
"23672","ug/m3 LC","Santa Maria-Santa Barbara","34.9491471842","-120.4376298533","Santa Barbara","7.6","California","2016-08-02"
"23917","ug/m3 LC","Santa Maria-Santa Barbara","34.6378200009","-120.4575","Santa Barbara","7.2","California","2016-08-02"
"24430","ug/m3 LC","San Jose-Sunnyvale-Santa Clara","36.999571","-121.574684","Santa Clara","8.6","California","2016-08-02"
"24786","ug/m3 LC","San Jose-Sunnyvale-Santa Clara","37.348497","-121.894898","Santa Clara","10","California","2016-08-02"
"25086","ug/m3 LC","San Jose-Sunnyvale-Santa Clara","37.338135","-121.849783","Santa Clara","10.4","California","2016-08-02"
"25380","ug/m3 LC","Santa Cruz-Watsonville","36.9839209877","-121.9893282424","Santa Cruz","4.3","California","2016-08-02"
"25650","ug/m3 LC","Santa Cruz-Watsonville","37.0630685077","-122.0841287539","Santa Cruz","4.6","California","2016-08-02"
"25990","ug/m3 LC","Vallejo-Fairfield","38.102507","-122.237976","Solano","3.2","California","2016-08-02"
"26274","ug/m3 LC","Vallejo-Fairfield","38.102507","-122.237976","Solano","6","California","2016-08-02"
